,Año,País,Tasa Desempleo,Var.,Var. Año,Mes
391,2014,Argentina [+],"6,9%","-0,60","0,50",Diciembre 2014
392,2014,Austria [+],"5,6%","-0,10","0,10",Diciembre 2014
393,2014,Australia [+],"6,1%","-0,17","0,21",Diciembre 2014
394,2014,Bélgica [+],"8,5%",0,"-0,10",Diciembre 2014
395,2014,Bulgaria [+],"10,3%","-0,50","-2,70",Diciembre 2014
396,2014,Brasil [+],"6,5%",0,"0,30",Diciembre 2014
397,2014,Canadá [+],"6,7%",0,"-0,50",Diciembre 2014
398,2014,Suiza [+],"4,4%","-0,10","-0,30",Diciembre 2014
399,2014,Chile [+],"6,2%","0,12","0,03",Diciembre 2014
400,2014,Colombia [+],"8,7%","1,01","0,28",Diciembre 2014
401,2014,Chipre [+],"16,4%","-0,10","0,20",Diciembre 2014
402,2014,República Checa [+],"5,8%","-0,10","-1,00",Diciembre 2014
403,2014,Dinamarca [+],"6,5%","-0,30","-0,90",Diciembre 2014
404,2014,Estonia [+],"6,5%","-0,10","-2,10",Diciembre 2014
405,2014,Finlandia [+],"9,0%",0,"0,60",Diciembre 2014
406,2014,Grecia [+],"25,9%","0,00","-1,61",Diciembre 2014
407,2014,Croacia [+],"16,7%","-0,10","-0,80",Diciembre 2014
408,2014,Hungría [+],"7,4%","0,10","-1,30",Diciembre 2014
409,2014,Irlanda [+],"10,7%","-0,10","-2,10",Diciembre 2014
410,2014,Islandia [+],"4,4%",0,"-0,90",Diciembre 2014
411,2014,Lituania [+],"10,2%","-0,30","-1,40",Diciembre 2014
412,2014,Luxemburgo [+],"6,2%",0,"0,20",Diciembre 2014
413,2014,Letonia [+],"10,1%","-0,40","-1,40",Diciembre 2014
414,2014,Malta [+],"5,4%",0,"-0,50",Diciembre 2014
415,2014,México [+],"3,8%","-0,77","-0,51",Diciembre 2014
416,2014,Países Bajos [+],"7,2%","0,10","-0,50",Diciembre 2014
417,2014,Noruega [+],"3,9%","0,10","-0,10",Diciembre 2014
418,2014,Polonia [+],"8,2%","-0,10","-1,70",Diciembre 2014
419,2014,Rumanía [+],"6,6%","-0,20","-0,50",Diciembre 2014
420,2014,Rusia [+],"5,3%","0,10","-0,30",Diciembre 2014
421,2014,Suecia [+],"7,5%","-0,40","-0,50",Diciembre 2014
422,2014,Eslovenia [+],"9,6%","-0,10","-0,30",Diciembre 2014
423,2014,Eslovaquia [+],"12,4%","-0,10","-1,60",Diciembre 2014
424,2014,Turquía [+],"10,4%","-0,20","1,30",Diciembre 2014
425,2014,Uruguay [+],"6,5%","-0,54","0,44",Diciembre 2014
426,2014,Venezuela [+],"5,5%","-0,40","-0,10",Diciembre 2014
427,2015,España [+],"20,8%","-0,10","-2,80",Diciembre 2015
428,2015,Alemania [+],"4,5%",0,"-0,40",Diciembre 2015
429,2015,Reino Unido [+],"5,1%",0,"-0,60",Diciembre 2015
430,2015,Francia [+],"10,2%",0,"-0,20",Diciembre 2015
431,2015,Italia [+],"11,6%","0,20","-0,70",Diciembre 2015
432,2015,Portugal [+],"12,1%","-0,10","-1,40",Diciembre 2015
433,2015,Zona Euro [+],"10,5%",0,"-0,90",Diciembre 2015
434,2015,Estados Unidos [+],"5,0%",0,"-0,60",Diciembre 2015
435,2015,Japón [+],"3,3%",0,"-0,10",Diciembre 2015
436,2015,Argentina [+],"6,6%","-0,50","-0,90",Junio 2015
437,2015,Austria [+],"6,0%","0,10","0,40",Diciembre 2015
438,2015,Australia [+],"5,8%","-0,08","-0,35",Diciembre 2015
439,2015,Bélgica [+],"8,7%","-0,10","0,20",Diciembre 2015
440,2015,Bulgaria [+],"8,0%",0,"-2,30",Diciembre 2015
441,2015,Brasil [+],"8,9%","-0,10","2,40",Diciembre 2015
442,2015,Canadá [+],"7,1%",0,"0,40",Diciembre 2015
443,2015,Suiza [+],"5,1%",0,"0,70",Diciembre 2015
444,2015,Chile [+],"5,8%","0,05","-0,31",Diciembre 2015
445,2015,Colombia [+],"8,6%","1,32","-0,13",Diciembre 2015
446,2015,Chipre [+],"13,0%","-0,20","-3,40",Diciembre 2015
447,2015,República Checa [+],"4,4%","-0,10","-1,40",Diciembre 2015
448,2015,Dinamarca [+],"6,0%","-0,10","-0,50",Diciembre 2015
449,2015,Estonia [+],"6,5%","-0,10",0,Diciembre 2015
450,2015,Finlandia [+],"9,3%",0,"0,30",Diciembre 2015
451,2015,Grecia [+],"24,0%","-0,63","-1,96",Diciembre 2015
452,2015,Croacia [+],"15,1%","-0,30","-1,60",Diciembre 2015
453,2015,Hungría [+],"6,2%","-0,10","-1,20",Diciembre 2015
454,2015,Irlanda [+],"9,3%","-0,20","-1,40",Diciembre 2015
455,2015,Islandia [+],"3,4%","-0,20","-1,00",Diciembre 2015
456,2015,Lituania [+],"8,6%","-0,20","-1,60",Diciembre 2015
457,2015,Luxemburgo [+],"6,5%",0,"0,30",Diciembre 2015
458,2015,Letonia [+],"10,0%",0,"-0,10",Diciembre 2015
459,2015,Malta [+],"5,3%",0,"-0,10",Diciembre 2015
460,2015,México [+],"4,0%","0,00","0,21",Diciembre 2015
461,2015,Países Bajos [+],"6,6%","-0,10","-0,60",Diciembre 2015
462,2015,Noruega [+],"4,7%",0,"0,80",Diciembre 2015
463,2015,Polonia [+],"6,9%","-0,10","-1,30",Diciembre 2015
464,2015,Rumanía [+],"6,5%","-0,10","-0,10",Diciembre 2015
465,2015,Rusia [+],"5,8%",0,"0,50",Diciembre 2015
466,2015,Suecia [+],"7,2%","0,30","-0,30",Diciembre 2015
467,2015,Eslovenia [+],"8,5%",0,"-1,10",Diciembre 2015
468,2015,Eslovaquia [+],"10,7%","-0,10","-1,70",Diciembre 2015
469,2015,Turquía [+],"10,2%","-0,20","-0,20",Diciembre 2015
470,2015,Uruguay [+],"7,4%","-0,54","0,92",Diciembre 2015
471,2015,Venezuela [+],"6,0%","-0,10","0,50",Diciembre 2015
472,2016,España [+],"18,5%","-0,30","-2,30",Diciembre 2016
473,2016,Alemania [+],"3,9%",0,"-0,60",Diciembre 2016
474,2016,Reino Unido [+],"4,8%",0,"-0,30",Diciembre 2016
475,2016,Francia [+],"9,9%","-0,20","-0,30",Diciembre 2016
476,2016,Italia [+],"11,7%","-0,20","0,10",Diciembre 2016
477,2016,Portugal [+],"10,1%","-0,40","-2,00",Diciembre 2016
478,2016,Zona Euro [+],"9,6%","-0,20","-0,90",Diciembre 2016
479,2016,Estados Unidos [+],"4,7%","0,10","-0,30",Diciembre 2016
480,2016,Japón [+],"3,0%","-0,10","-0,30",Diciembre 2016
481,2016,Argentina [+],"8,5%","-0,80",,Septiembre 2016
482,2016,Austria [+],"5,6%","-0,10","-0,40",Diciembre 2016
483,2016,Australia [+],"5,8%","0,11","0,07",Diciembre 2016
484,2016,Bélgica [+],"7,3%","0,10","-1,40",Diciembre 2016
485,2016,Bulgaria [+],"6,7%","-0,10","-1,30",Diciembre 2016
486,2016,Brasil [+],"12,0%","0,20","3,10",Diciembre 2016
487,2016,Canadá [+],"6,9%","0,10","-0,20",Diciembre 2016
488,2016,Suiza [+],"4,8%",0,"-0,30",Diciembre 2016
489,2016,Chile [+],"6,2%","0,15","0,38",Diciembre 2016
490,2016,Colombia [+],"8,7%","1,23","0,15",Diciembre 2016
491,2016,Chipre [+],"12,8%","-0,20","-0,20",Diciembre 2016
492,2016,República Checa [+],"3,5%","-0,10","-0,90",Diciembre 2016
493,2016,Dinamarca [+],"5,8%","-0,10","-0,20",Diciembre 2016
494,2016,Estonia [+],"6,3%","-0,60","-0,20",Diciembre 2016
495,2016,Finlandia [+],"8,7%",0,"-0,60",Diciembre 2016
496,2016,Grecia [+],"23,3%",0,"-0,66",Diciembre 2016
497,2016,Croacia [+],"12,5%",0,"-2,60",Diciembre 2016
498,2016,Hungría [+],"4,3%","-0,20","-1,90",Diciembre 2016
499,2016,Irlanda [+],"7,4%","-0,10","-1,90",Diciembre 2016
500,2016,Islandia [+],"2,9%",0,"-0,50",Diciembre 2016
501,2016,Lituania [+],"7,6%",0,"-1,00",Diciembre 2016
502,2016,Luxemburgo [+],"6,3%",0,"-0,20",Diciembre 2016
503,2016,Letonia [+],"9,4%",0,"-0,60",Diciembre 2016
504,2016,Malta [+],"4,3%",0,"-1,00",Diciembre 2016
505,2016,México [+],"3,4%","-0,14","-0,59",Diciembre 2016
506,2016,Países Bajos [+],"5,4%","-0,20","-1,20",Diciembre 2016
507,2016,Noruega [+],"4,2%","-0,30","-0,50",Diciembre 2016
508,2016,Polonia [+],"5,4%","-0,20","-1,50",Diciembre 2016
509,2016,Rumanía [+],"5,3%",0,"-1,20",Diciembre 2016
510,2016,Rusia [+],"5,3%","-0,10","-0,50",Diciembre 2016
511,2016,Suecia [+],"6,9%","0,10","-0,30",Diciembre 2016
512,2016,Eslovenia [+],"8,1%","-0,10","-0,40",Diciembre 2016
513,2016,Eslovaquia [+],"8,9%","-0,10","-1,80",Diciembre 2016
514,2016,Turquía [+],"12,0%","0,10","1,80",Diciembre 2016
515,2016,Uruguay [+],"7,7%","0,00","0,35",Diciembre 2016
516,2016,Venezuela [+],"6,6%","-0,40","0,60",Diciembre 2016
517,2017,España [+],"16,5%","-0,10","-2,00",Diciembre 2017
518,2017,Alemania [+],"3,6%",0,"-0,30",Diciembre 2017
519,2017,Reino Unido [+],"4,4%","0,10","-0,40",Diciembre 2017
520,2017,Francia [+],"9,0%",0,"-0,90",Diciembre 2017
521,2017,Italia [+],"10,9%","-0,10","-0,80",Diciembre 2017
522,2017,Portugal [+],"7,9%","-0,20","-2,20",Diciembre 2017
523,2017,Zona Euro [+],"8,6%","-0,10","-1,00",Diciembre 2017
524,2017,Estados Unidos [+],"4,1%",0,"-0,60",Diciembre 2017
525,2017,Japón [+],"2,8%","0,10","-0,20",Diciembre 2017
526,2017,Argentina [+],"8,5%","-0,80",,Septiembre 2016
527,2017,Austria [+],"5,5%",0,"-0,10",Diciembre 2017
528,2017,Australia [+],"5,5%","0,15","-0,28",Diciembre 2017
529,2017,Bélgica [+],"6,2%","-0,20","-1,10",Diciembre 2017
530,2017,Bulgaria [+],"5,7%","-0,10","-1,00",Diciembre 2017
531,2017,Brasil [+],"11,8%","-0,20","-0,20",Diciembre 2017
532,2017,Canadá [+],"5,8%","-0,10","-1,10",Diciembre 2017
533,2017,Suiza [+],"4,8%","0,10",0,Diciembre 2017
534,2017,Chile [+],"6,5%","0,15","0,29",Diciembre 2017
535,2017,Colombia [+],"8,6%","0,26","-0,12",Diciembre 2017
536,2017,Chipre [+],"10,4%","0,10","-2,40",Diciembre 2017
537,2017,República Checa [+],"2,4%","-0,10","-1,10",Diciembre 2017
538,2017,Dinamarca [+],"5,4%",0,"-0,40",Diciembre 2017
539,2017,Estonia [+],"5,6%","0,10","-0,70",Diciembre 2017
540,2017,Finlandia [+],"8,3%","-0,10","-0,40",Diciembre 2017
541,2017,Grecia [+],"20,8%","-0,10","-2,50",Diciembre 2017
542,2017,Croacia [+],"9,7%","-0,30","-2,80",Diciembre 2017
543,2017,Hungría [+],"3,8%","-0,10","-0,50",Diciembre 2017
544,2017,Irlanda [+],"6,2%","-0,10","-1,20",Diciembre 2017
545,2017,Islandia [+],"3,2%",0,"0,30",Diciembre 2017
546,2017,Lituania [+],"6,8%","0,10","-0,80",Diciembre 2017
547,2017,Luxemburgo [+],"5,6%","0,20","-0,70",Diciembre 2017
548,2017,Letonia [+],"8,1%","-0,20","-1,30",Diciembre 2017
549,2017,Malta [+],"4,1%","0,10","-0,20",Diciembre 2017
550,2017,México [+],"3,1%","-0,29","-0,24",Diciembre 2017
551,2017,Países Bajos [+],"4,4%",0,"-1,00",Diciembre 2017
552,2017,Noruega [+],"4,0%",0,"-0,20",Diciembre 2017
553,2017,Polonia [+],"4,3%","-0,20","-1,10",Diciembre 2017
554,2017,Rumanía [+],"4,5%","-0,20","-0,80",Diciembre 2017
555,2017,Rusia [+],"5,1%",0,"-0,20",Diciembre 2017
556,2017,Suecia [+],"6,5%","0,20","-0,40",Diciembre 2017
557,2017,Eslovenia [+],"5,7%","-0,20","-2,40",Diciembre 2017
558,2017,Eslovaquia [+],"7,5%","-0,10","-1,40",Diciembre 2017
559,2017,Turquía [+],"9,9%","-0,30","-2,10",Diciembre 2017
560,2017,Uruguay [+],"6,9%","-0,84","-0,82",Diciembre 2017
561,2017,Venezuela [+],"6,1%","-0,80","-0,50",Diciembre 2017
562,2018,España [+],"14,4%","-0,10","-2,10",Diciembre 2018
563,2018,Alemania [+],"3,3%",0,"-0,30",Diciembre 2018
564,2018,Reino Unido [+],"4,0%",0,"-0,40",Diciembre 2018
565,2018,Francia [+],"8,8%",0,"-0,20",Diciembre 2018
566,2018,Italia [+],"10,3%","-0,20","-0,60",Diciembre 2018
567,2018,Portugal [+],"6,6%","-0,10","-1,30",Diciembre 2018
568,2018,Zona Euro [+],"7,8%","-0,10","-0,80",Diciembre 2018
569,2018,Estados Unidos [+],"3,9%","0,20","-0,20",Diciembre 2018
570,2018,Japón [+],"2,4%","-0,10","-0,40",Diciembre 2018
571,2018,Argentina [+],"8,5%","-0,80",,Septiembre 2016
572,2018,Austria [+],"4,7%",0,"-0,80",Diciembre 2018
573,2018,Australia [+],"5,0%","-0,12","-0,56",Diciembre 2018
574,2018,Bélgica [+],"5,7%","-0,10","-0,50",Diciembre 2018
575,2018,Bulgaria [+],"4,7%","-0,10","-1,00",Diciembre 2018
576,2018,Brasil [+],"11,6%",0,"-0,20",Diciembre 2018
577,2018,Canadá [+],"5,6%",0,"-0,20",Diciembre 2018
578,2018,Suiza [+],"4,8%","-0,10",0,Diciembre 2018
579,2018,Chile [+],"6,8%","0,04","0,26",Diciembre 2018
580,2018,Colombia [+],"11,8%","3,13","0,03",Enero 2018
581,2018,Chipre [+],"7,6%","-0,10","-2,80",Diciembre 2018
582,2018,República Checa [+],"2,1%","0,20","-0,30",Diciembre 2018
583,2018,Dinamarca [+],"5,1%","-0,10","-0,30",Diciembre 2018
584,2018,Estonia [+],"4,2%","-0,30","-1,40",Diciembre 2018
585,2018,Finlandia [+],"6,7%","-0,20","-1,60",Diciembre 2018
586,2018,Grecia [+],"18,4%","-0,10","-2,40",Diciembre 2018
587,2018,Croacia [+],"7,4%","-0,10","-2,30",Diciembre 2018
588,2018,Hungría [+],"3,6%","-0,10","-0,20",Diciembre 2018
589,2018,Irlanda [+],"5,5%","-0,10","-0,70",Diciembre 2018
590,2018,Islandia [+],"2,9%","0,10","-0,30",Diciembre 2018
591,2018,Lituania [+],"6,0%","0,10","-0,80",Diciembre 2018
592,2018,Luxemburgo [+],"5,2%","-0,20","-0,40",Diciembre 2018
593,2018,Letonia [+],"6,9%","-0,10","-1,20",Diciembre 2018
594,2018,Malta [+],"3,7%","0,10","-0,40",Diciembre 2018
595,2018,México [+],"3,4%","0,09","0,23",Diciembre 2018
596,2018,Países Bajos [+],"3,6%","0,10","-0,80",Diciembre 2018
597,2018,Noruega [+],"3,7%",0,"-0,30",Diciembre 2018
598,2018,Polonia [+],"3,8%",0,"-0,50",Diciembre 2018
599,2018,Rumanía [+],"4,0%","-0,10","-0,50",Diciembre 2018
600,2018,Rusia [+],"4,8%",0,"-0,30",Diciembre 2018
601,2018,Suecia [+],"6,6%","0,30","0,10",Diciembre 2018
602,2018,Eslovenia [+],"4,4%",0,"-1,30",Diciembre 2018
603,2018,Eslovaquia [+],"5,9%","-0,10","-1,60",Diciembre 2018
604,2018,Turquía [+],"12,8%","0,50","2,90",Diciembre 2018
605,2018,Uruguay [+],"8,4%","1,01","1,50",Diciembre 2018
606,2018,Venezuela [+],"6,4%","-0,90","0,30",Diciembre 2018
607,2019,España [+],"13,7%","-0,10","-0,70",Diciembre 2019
608,2019,Alemania [+],"3,3%","0,10",0,Diciembre 2019
609,2019,Reino Unido [+],"3,8%",0,"-0,20",Diciembre 2019
610,2019,Francia [+],"8,2%",0,"-0,60",Diciembre 2019
611,2019,Italia [+],"9,5%",0,"-0,80",Diciembre 2019
612,2019,Portugal [+],"6,7%",0,"0,10",Diciembre 2019
613,2019,Zona Euro [+],"7,3%","-0,10","-0,50",Diciembre 2019
614,2019,Estados Unidos [+],"3,5%",0,"-0,40",Diciembre 2019
615,2019,Japón [+],"2,2%",0,"-0,20",Diciembre 2019
616,2019,Argentina [+],"8,5%","-0,80",,Septiembre 2016
617,2019,Austria [+],"4,2%",0,"-0,50",Diciembre 2019
618,2019,Australia [+],"5,1%","-0,11","0,09",Diciembre 2019
619,2019,Bélgica [+],"5,2%",0,"-0,50",Diciembre 2019
620,2019,Bulgaria [+],"4,2%",0,"-0,50",Diciembre 2019
621,2019,Brasil [+],"11,0%","-0,20","-0,60",Diciembre 2019
622,2019,Canadá [+],"5,6%","-0,30",0,Diciembre 2019
623,2019,Suiza [+],"4,1%","0,10","-0,70",Diciembre 2019
624,2019,Chile [+],"7,0%","0,10","0,25",Noviembre 2019
625,2019,Colombia [+],"11,8%","3,13","0,03",Enero 2018
626,2019,Chipre [+],"6,3%","-0,20","-1,30",Diciembre 2019
627,2019,República Checa [+],"2,0%","-0,10","-0,10",Diciembre 2019
628,2019,Dinamarca [+],"4,9%","-0,20","-0,20",Diciembre 2019
629,2019,Estonia [+],"4,4%","0,10","0,20",Diciembre 2019
630,2019,Finlandia [+],"6,6%","-0,10","-0,10",Diciembre 2019
631,2019,Grecia [+],"16,4%","-0,20","-2,00",Diciembre 2019
632,2019,Croacia [+],"6,3%",0,"-1,10",Diciembre 2019
633,2019,Hungría [+],"3,4%",0,"-0,20",Diciembre 2019
634,2019,Irlanda [+],"4,7%",0,"-0,80",Diciembre 2019
635,2019,Islandia [+],"3,5%","-0,10","0,60",Diciembre 2019
636,2019,Lituania [+],"6,4%","-0,10","0,40",Diciembre 2019
637,2019,Luxemburgo [+],"5,6%",0,"0,40",Diciembre 2019
638,2019,Letonia [+],"6,5%","0,60","-0,40",Diciembre 2019
639,2019,Malta [+],"3,4%",0,"-0,30",Diciembre 2019
640,2019,México [+],"2,9%","-0,54","-0,45",Diciembre 2019
641,2019,Países Bajos [+],"3,2%","-0,30","-0,40",Diciembre 2019
642,2019,Noruega [+],"3,9%",0,"0,20",Diciembre 2019
643,2019,Polonia [+],"2,9%",0,"-0,90",Diciembre 2019
644,2019,Rumanía [+],"4,0%",0,0,Diciembre 2019
645,2019,Rusia [+],"4,6%",0,"-0,20",Diciembre 2019
646,2019,Suecia [+],"6,6%","-0,70",0,Diciembre 2019
647,2019,Eslovenia [+],"3,8%","-0,30","-0,60",Diciembre 2019
648,2019,Eslovaquia [+],"5,6%",0,"-0,30",Diciembre 2019
649,2019,Turquía [+],"13,1%","-0,10","0,30",Diciembre 2019
650,2019,Uruguay [+],"8,5%","-0,70","0,07",Diciembre 2019
651,2019,Venezuela [+],"6,4%","-0,90","0,30",Diciembre 2018
652,2020,España [+],"16,5%","0,30","2,40",Septiembre 2020
653,2020,Alemania [+],"4,5%",0,"1,40",Septiembre 2020
654,2020,Reino Unido [+],"4,5%","0,60","0,60",Agosto 2020
655,2020,Francia [+],"7,9%","0,40","-0,50",Septiembre 2020
656,2020,Italia [+],"9,6%","-0,10","-0,10",Septiembre 2020
657,2020,Portugal [+],"7,7%","-0,40","1,20",Septiembre 2020
658,2020,Zona Euro [+],"8,3%","0,20","0,80",Septiembre 2020
659,2020,Estados Unidos [+],"7,9%","-0,50","4,40",Septiembre 2020
660,2020,Japón [+],"3,0%",0,"0,60",Septiembre 2020
661,2020,Argentina [+],"8,5%","-0,80",,Septiembre 2016
662,2020,Austria [+],"5,5%","0,50","1,00",Septiembre 2020
663,2020,Australia [+],"7,5%","0,04","2,26",Julio 2020
664,2020,Bélgica [+],"5,2%","0,10",0,Septiembre 2020
665,2020,Bulgaria [+],"6,2%",0,"2,20",Septiembre 2020
666,2020,Brasil [+],"14,4%","0,60","2,60",Agosto 2020
667,2020,Canadá [+],"8,9%","-0,10","3,40",Octubre 2020
668,2020,Suiza [+],"4,8%",0,"0,40",Junio 2020
669,2020,Chile [+],"7,0%","0,10","0,25",Noviembre 2019
670,2020,Colombia [+],"11,8%","3,13","0,03",Enero 2018
671,2020,Chipre [+],"8,0%","0,60","1,40",Septiembre 2020
672,2020,República Checa [+],"2,8%","0,10","0,70",Septiembre 2020
673,2020,Dinamarca [+],"6,1%",0,"0,90",Septiembre 2020
674,2020,Estonia [+],"8,0%","0,20","4,00",Agosto 2020
675,2020,Finlandia [+],"8,4%","0,30","1,60",Septiembre 2020
676,2020,Grecia [+],"16,8%",0,"-0,20",Agosto 2020
677,2020,Croacia [+],"8,2%","-0,10","1,80",Septiembre 2020
678,2020,Hungría [+],"4,4%","-0,20","0,90",Agosto 2020
679,2020,Irlanda [+],"7,3%","1,90","2,60",Octubre 2020
680,2020,Islandia [+],"5,6%","0,60","2,10",Septiembre 2020
681,2020,Lituania [+],"9,8%","0,20","3,10",Septiembre 2020
682,2020,Luxemburgo [+],"6,7%","-0,10","1,20",Septiembre 2020
683,2020,Letonia [+],"8,4%","-0,40","2,40",Septiembre 2020
684,2020,Malta [+],"4,0%","-0,10","0,60",Septiembre 2020
685,2020,México [+],"2,9%","-0,63","-0,31",Marzo 2020
686,2020,Países Bajos [+],"4,4%","-0,20","0,90",Septiembre 2020
687,2020,Noruega [+],"5,3%","0,10","1,60",Agosto 2020
688,2020,Polonia [+],"3,1%",0,0,Septiembre 2020
689,2020,Rumanía [+],"5,2%","-0,10","1,10",Septiembre 2020
690,2020,Rusia [+],"6,4%","0,10","2,10",Agosto 2020
691,2020,Suecia [+],"9,0%","-0,10","2,30",Septiembre 2020
692,2020,Eslovenia [+],"4,7%",0,0,Septiembre 2020
693,2020,Eslovaquia [+],"6,8%",0,"1,10",Septiembre 2020
694,2020,Turquía [+],"13,8%","-0,50","-0,40",Julio 2020
695,2020,Uruguay [+],"10,5%","1,99","2,09",Febrero 2020
696,2020,Venezuela [+],"6,4%","-0,90","0,30",Diciembre 2018
