,Año,País,Tasa Desempleo,Varianza Anual Desempleo,SMI €,Salario Medio
415,2020,Francia [+],"7,9%","-0,50","1.539,4 €",36.547€
416,2020,Portugal [+],"7,7%","1,20","740,8 €",18.787€
417,2020,Estados Unidos [+],"7,9%","4,40","1.118,6 €",50.965€
418,2020,Japón [+],"3,0%","0,60","1.213,1 €",42.853€
419,2020,Australia [+],"7,5%","2,26","1.950,3 €",54.520€
420,2020,Bélgica [+],"5,2%",0,"1.625,7 €",49.565€
421,2020,Bulgaria [+],"6,2%","2,20","311,9 €",7.771€
422,2020,Canadá [+],"8,9%","3,40","1.479,5 €",37.086€
423,2020,Chile [+],"7,0%","0,25","375,5 €",12.755€
424,2020,Chipre [+],"8,0%","1,40","870,0 €",24.058€
425,2020,República Checa [+],"2,8%","0,70","574,6 €",15.924€
426,2020,Estonia [+],"8,0%","4,00","584,0 €",17.118€
427,2020,Grecia [+],"16,8%","-0,20","758,3 €",21.382€
428,2020,Croacia [+],"8,2%","1,80","546,1 €",13.664€
429,2020,Hungría [+],"4,4%","0,90","487,1 €",13.680€
430,2020,Irlanda [+],"7,3%","2,60","1.706,9 €",48.806€
431,2020,Lituania [+],"9,8%","3,10","607,0 €",14.390€
432,2020,Luxemburgo [+],"6,7%","1,20","2.142,0 €",60.770€
433,2020,Letonia [+],"8,4%","2,40","430,0 €",13.001€
434,2020,Malta [+],"4,0%","0,60","777,1 €",24.582€
435,2020,México [+],"2,9%","-0,31","138,9 €",6.106€
436,2020,Países Bajos [+],"4,4%","0,90","1.680,0 €",53.198€
437,2020,Polonia [+],"3,1%",0,"610,8 €",13.808€
438,2020,Rumanía [+],"5,2%","1,10","466,2 €",12.047€
439,2020,Eslovenia [+],"4,7%",0,"940,6 €",20.576€
440,2020,Eslovaquia [+],"6,8%","1,10","580,0 €",13.199€
